,abs_coef
ecb_rate,0.42114345034584866
VIX_lag1,0.2762847330017064
fed_rate_ret,0.2578383765449468
VIX_ret,0.19997237053845435
fed_rate,0.1895586586756305
nikkei_ret,0.15663942353239185
fed_rate_lag1,0.15213469818955352
DEXUSUK_ret,0.12938271206645618
wti_lag1_ret,0.12388641420100897
nk_sp_ret_diff,0.11080834812805873
ecb_rate_ret,0.11073482897036324
sp500_lag1,0.10491497486386786
wti_ret,0.10407754935154184
stoxx50_ret,0.09893621670978435
wti_lag1,0.08276995069915317
vix_nkvol_ratio,0.07954596208723705
DEXUSEU_ret,0.07844019517992937
sp500_lag1_ret,0.05545069848680771
fed_rate_lag1_ret,0.04128623681466075
nikkei_vol_ret,0.03338804980664952
DEXJPUS_ret,0.031116843939705784
gold_ret,0.009260884142230951
VIX_lag1_ret,0.0061416501948618465
