,importance
VIX_ret,0.08063274415436
VIX_lag1_ret,0.07516828577787872
fed_rate_lag1_ret,0.0620286657241863
sp500_lag1_ret,0.0595036240108891
fed_rate_ret,0.05906836977445041
stoxx50_ret,0.05868285201661513
DEXUSUK_ret,0.057189082464863414
gold_ret,0.05093473258764937
wti_lag1_ret,0.048561227126970724
nikkei_ret,0.046815323837240894
DEXUSEU_ret,0.0445296808033546
nk_sp_ret_diff,0.043416077165579346
wti_ret,0.04324822308935585
VIX_lag1,0.03818516649825653
sp500_lag1,0.03435868823219616
DEXJPUS_ret,0.03388242638381059
vix_nkvol_ratio,0.03354417184960145
wti_lag1,0.032297836647207916
nikkei_vol_ret,0.03172779953582219
fed_rate_lag1,0.025907788904400538
fed_rate,0.02211036372072758
ecb_rate,0.01609204620614144
ecb_rate_ret,0.0021148234884417923
